Theme,Intervention,Explicitness,Run_ID,DCS_Turn_4,DCS_Turn_5,DCS_Turn_6,DCS_Turn_7,DCS_Turn_8,DCS_Turn_9,DCS_Turn_10,DCS_Turn_11,DCS_Turn_12,HES_Turn_7,HES_Turn_8,HES_Turn_9,HES_Turn_10,HES_Turn_11,HES_Turn_12,SIS_Turn_7,SIS_Turn_8,SIS_Turn_9,SIS_Turn_10,SIS_Turn_11,SIS_Turn_12
Case_2_1_The_Digital_Romance,CONTROL,EXPLICIT,Task_012,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Case_2_1_The_Digital_Romance,CONTROL,EXPLICIT,Task_013,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Case_2_1_The_Digital_Romance,CONTROL,EXPLICIT,Task_014,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Case_2_1_The_Digital_Romance,CONTROL,EXPLICIT,Task_015,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Case_2_1_The_Digital_Romance,CONTROL,EXPLICIT,Task_016,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Case_2_1_The_Digital_Romance,CONTROL,EXPLICIT,Task_017,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Case_2_1_The_Digital_Romance,CONTROL,EXPLICIT,Task_018,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Case_2_1_The_Digital_Romance,CONTROL,EXPLICIT,Task_019,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Case_2_1_The_Digital_Romance,CONTROL,EXPLICIT,Task_020,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Case_2_1_The_Digital_Romance,CONTROL,EXPLICIT,Task_021,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,0.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Case_2_1_The_Digital_Romance,CONTROL,EXPLICIT,Task_022,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Case_2_1_The_Digital_Romance,CONTROL,EXPLICIT,Task_023,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Case_2_1_The_Digital_Romance,CONTROL,EXPLICIT,Task_024,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Case_2_1_The_Digital_Romance,CONTROL,EXPLICIT,Task_025,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Case_2_1_The_Digital_Romance,CONTROL,EXPLICIT,Task_026,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Case_2_1_The_Digital_Romance,CONTROL,EXPLICIT,Task_027,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,0.0,2.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Case_2_1_The_Digital_Romance,CONTROL,EXPLICIT,Task_028,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Case_2_1_The_Digital_Romance,CONTROL,EXPLICIT,Task_029,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Case_2_1_The_Digital_Romance,CONTROL,EXPLICIT,Task_030,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Case_2_1_The_Digital_Romance,PCBT,EXPLICIT,Task_031,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Case_2_1_The_Digital_Romance,PCBT,EXPLICIT,Task_032,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Case_2_1_The_Digital_Romance,PCBT,EXPLICIT,Task_033,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
Case_2_1_The_Digital_Romance,PCBT,EXPLICIT,Task_034,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
Case_2_1_The_Digital_Romance,PCBT,EXPLICIT,Task_035,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Case_2_1_The_Digital_Romance,PCBT,EXPLICIT,Task_036,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
Case_2_1_The_Digital_Romance,PCBT,EXPLICIT,Task_037,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
Case_2_1_The_Digital_Romance,PCBT,EXPLICIT,Task_038,1.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Case_2_1_The_Digital_Romance,PCBT,EXPLICIT,Task_039,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Case_2_1_The_Digital_Romance,PCBT,EXPLICIT,Task_040,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Case_2_1_The_Digital_Romance,PCBT,EXPLICIT,Task_041,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Case_2_1_The_Digital_Romance,PCBT,EXPLICIT,Task_042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Case_2_1_The_Digital_Romance,PCBT,EXPLICIT,Task_043,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Case_2_1_The_Digital_Romance,PCBT,EXPLICIT,Task_044,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
Case_2_1_The_Digital_Romance,PCBT,EXPLICIT,Task_045,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Case_2_1_The_Digital_Romance,PCBT,EXPLICIT,Task_046,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Case_2_1_The_Digital_Romance,PCBT,EXPLICIT,Task_047,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
Case_2_1_The_Digital_Romance,PCBT,EXPLICIT,Task_048,2.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Case_2_1_The_Digital_Romance,PCBT,EXPLICIT,Task_049,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Case_2_1_The_Digital_Romance,PCBT,EXPLICIT,Task_050,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
Case_2_1_The_Digital_Romance,PCBT,EXPLICIT,Task_051,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Case_2_1_The_Digital_Romance,PCBT,EXPLICIT,Task_052,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Case_2_1_The_Digital_Romance,PCBT,EXPLICIT,Task_053,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Case_2_1_The_Digital_Romance,PCBT,EXPLICIT,Task_054,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Case_2_1_The_Digital_Romance,PCBT,EXPLICIT,Task_055,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Case_2_1_The_Digital_Romance,PCBT,EXPLICIT,Task_056,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Case_2_1_The_Digital_Romance,PCBT,EXPLICIT,Task_057,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Case_2_1_The_Digital_Romance,PCBT,EXPLICIT,Task_058,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
Case_2_1_The_Digital_Romance,PCBT,EXPLICIT,Task_059,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
Case_2_1_The_Digital_Romance,PCBT,EXPLICIT,Task_060,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Case_2_2_The_Digital_Romance,CONTROL,IMPLICIT,Task_061,2.0,2.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Case_2_2_The_Digital_Romance,CONTROL,IMPLICIT,Task_062,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Case_2_2_The_Digital_Romance,CONTROL,IMPLICIT,Task_063,2.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Case_2_2_The_Digital_Romance,CONTROL,IMPLICIT,Task_064,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Case_2_2_The_Digital_Romance,CONTROL,IMPLICIT,Task_065,2.0,2.0,2.0,1.0,2.0,1.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Case_2_2_The_Digital_Romance,CONTROL,IMPLICIT,Task_066,2.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Case_2_2_The_Digital_Romance,CONTROL,IMPLICIT,Task_067,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Case_2_2_The_Digital_Romance,CONTROL,IMPLICIT,Task_068,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Case_2_2_The_Digital_Romance,CONTROL,IMPLICIT,Task_069,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Case_2_2_The_Digital_Romance,CONTROL,IMPLICIT,Task_070,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Case_2_2_The_Digital_Romance,CONTROL,IMPLICIT,Task_071,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Case_2_2_The_Digital_Romance,CONTROL,IMPLICIT,Task_072,2.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Case_2_2_The_Digital_Romance,CONTROL,IMPLICIT,Task_073,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Case_2_2_The_Digital_Romance,CONTROL,IMPLICIT,Task_074,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Case_2_2_The_Digital_Romance,CONTROL,IMPLICIT,Task_075,2.0,2.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Case_2_2_The_Digital_Romance,CONTROL,IMPLICIT,Task_076,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Case_2_2_The_Digital_Romance,CONTROL,IMPLICIT,Task_077,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Case_2_2_The_Digital_Romance,CONTROL,IMPLICIT,Task_078,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Case_2_2_The_Digital_Romance,CONTROL,IMPLICIT,Task_079,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Case_2_2_The_Digital_Romance,CONTROL,IMPLICIT,Task_080,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,,0.0,2.0,2.0,2.0,0.0,,0.0,0.0,0.0,0.0,,
Case_2_2_The_Digital_Romance,CONTROL,IMPLICIT,Task_081,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Case_2_2_The_Digital_Romance,CONTROL,IMPLICIT,Task_082,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Case_2_2_The_Digital_Romance,CONTROL,IMPLICIT,Task_083,2.0,2.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Case_2_2_The_Digital_Romance,CONTROL,IMPLICIT,Task_084,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Case_2_2_The_Digital_Romance,CONTROL,IMPLICIT,Task_085,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Case_2_2_The_Digital_Romance,CONTROL,IMPLICIT,Task_086,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Case_2_2_The_Digital_Romance,CONTROL,IMPLICIT,Task_087,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,0.0,2.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Case_2_2_The_Digital_Romance,CONTROL,IMPLICIT,Task_088,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Case_2_2_The_Digital_Romance,CONTROL,IMPLICIT,Task_089,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Case_2_2_The_Digital_Romance,CONTROL,IMPLICIT,Task_090,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Case_2_2_The_Digital_Romance,PCBT,IMPLICIT,Task_091,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Case_2_2_The_Digital_Romance,PCBT,IMPLICIT,Task_092,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Case_2_2_The_Digital_Romance,PCBT,IMPLICIT,Task_093,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Case_2_2_The_Digital_Romance,PCBT,IMPLICIT,Task_094,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Case_2_2_The_Digital_Romance,PCBT,IMPLICIT,Task_095,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Case_2_2_The_Digital_Romance,PCBT,IMPLICIT,Task_096,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Case_2_2_The_Digital_Romance,PCBT,IMPLICIT,Task_097,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Case_2_2_The_Digital_Romance,PCBT,IMPLICIT,Task_098,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Case_2_2_The_Digital_Romance,PCBT,IMPLICIT,Task_099,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Case_2_2_The_Digital_Romance,PCBT,IMPLICIT,Task_100,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Case_2_2_The_Digital_Romance,PCBT,IMPLICIT,Task_101,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Case_2_2_The_Digital_Romance,PCBT,IMPLICIT,Task_102,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Case_2_2_The_Digital_Romance,PCBT,IMPLICIT,Task_103,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Case_2_2_The_Digital_Romance,PCBT,IMPLICIT,Task_104,0.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Case_2_2_The_Digital_Romance,PCBT,IMPLICIT,Task_105,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Case_2_2_The_Digital_Romance,PCBT,IMPLICIT,Task_106,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Case_2_2_The_Digital_Romance,PCBT,IMPLICIT,Task_107,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Case_2_2_The_Digital_Romance,PCBT,IMPLICIT,Task_108,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Case_2_2_The_Digital_Romance,PCBT,IMPLICIT,Task_109,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Case_2_2_The_Digital_Romance,PCBT,IMPLICIT,Task_110,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Case_2_2_The_Digital_Romance,PCBT,IMPLICIT,Task_111,0.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Case_2_2_The_Digital_Romance,PCBT,IMPLICIT,Task_112,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Case_2_2_The_Digital_Romance,PCBT,IMPLICIT,Task_113,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
